lemma850291:corpussawmedizin	22	5067	21	100522	0.003925606616469725	179.9366100981086	4.243121445738088	4.340582687493125
lemma850291:corpussawlit	22	4641	1	100522	3.3867598123359577e-06	1.559538850284273	-0.02249984568832221	-0.01571795228905115
lemma92260:corpussawmedizin	3	5067	1	100522	0.00016751122393523414	147.45729025345008	2.7252731408754687	0.8487793716798313
lemma92260:corpusbbawtotenlit	3	2655	1	100522	0.00034680362106789375	170.63242600495911	3.657693108706495	0.920763613935258
lemma92260:corpussawlit	3	4641	1	100522	0.00018562659049903865	151.3373236052252	2.851969272227819	0.8614930065060384
lemma86210:corpussawmedizin	57	5067	50	100522	0.009300731806180539	178.26352574705277	4.121201817206608	6.664737111251645
lemma86210:corpusbbawtotenlit	57	2655	5	100522	0.0013161991204406406	107.4325822508009	1.7316936901502717	1.5627917844775046
lemma86210:corpussawlit	57	4641	2	100522	0.00013609844352192825	27.2747384450826	-0.3959582412157668	-0.446631890112388
lemma702875:corpusbbawgrabinschriften	2	2299	2	100522	0.0008500473115374716	191.05630172824618	5.450361004400987	1.3818696279120244
lemma852387:corpusbbawtotenlit	4	2655	4	100522	0.0014667990528237328	189.70700834488306	5.2426556094276515	1.9471757426235052
lemma500566:corpusbbawgraeberspzt	1	189	1	100522	0.005281057219936271	199.2493372124197	9.054909330898095	0.9981198145679553
lemma500417:corpusbbawtotenlit	2	2655	2	100522	0.0007333995264118664	189.70700834488306	5.2426556094276515	1.376861171771032
lemma450528:corpusbbawgrabinschriften	1	2299	1	100522	0.0004250236557687358	191.05630172824618	5.450361004400987	0.9771293846123237
lemma39180:corpussawmedizin	1	5067	1	100522	0.00018740736607327356	180.80481868376438	4.310235641596625	0.9495931238932771
lemma65810:corpussawlit	1	4641	1	100522	0.0002055227326370781	182.3474035544821	4.4369317729489754	0.9538310021686794
lemma145960:corpussawlit	4	4641	4	100522	0.0008220909305483124	182.3474035544821	4.4369317729489754	1.9076620043373589
lemma186240:corpussawmedizin	4	5067	1	100522	0.00015756315286621442	132.88186108121533	2.310235641596625	0.7983724955731084
lemma186240:corpussawlit	4	4641	3	100522	0.0006066201268422146	176.80442320307375	4.0218942736701315	1.6254280742643648
lemma175950:corpusbbawamarna	1	510	1	100522	0.0019508362426564705	197.98083775437487	7.622798318260309	0.9949264837548
lemma105530:corpussawmedizin	1	5067	1	100522	0.00018740736607327356	180.80481868376438	4.310235641596625	0.9495931238932771
lemma80310:corpussawlit	1	4641	1	100522	0.0002055227326370781	182.3474035544821	4.4369317729489754	0.9538310021686794
lemma175490:corpussawlit	2	4641	2	100522	0.0004110454652741562	182.3474035544821	4.4369317729489754	1.3489207394788674
lemma25160:corpussawmedizin	4	5067	1	100522	0.00015756315286621442	132.88186108121533	2.310235641596625	0.7983724955731084
lemma25160:corpussawlit	4	4641	3	100522	0.0006066201268422146	176.80442320307375	4.0218942736701315	1.6254280742643648
lemma850995:corpussawlit	1	4641	1	100522	0.0002055227326370781	182.3474035544821	4.4369317729489754	0.9538310021686794
lemma858591:corpusbbawamarna	1	510	1	100522	0.0019508362426564705	197.98083775437487	7.622798318260309	0.9949264837548
lemma860191:corpussawmedizin	6	5067	2	100522	0.0003350224478704683	147.45729025345008	2.7252731408754687	1.2003552988921316
lemma860191:corpussawlit	6	4641	4	100522	0.0008021947884102729	174.09276772713952	3.851969272227819	1.8614930065060384
lemma52850:corpussawmedizin	4	5067	2	100522	0.0003549185900085077	163.36755349913244	3.310235641596625	1.2716413867191192
lemma52850:corpussawlit	4	4641	2	100522	0.00039114932313611675	166.1870241521256	3.436931772948975	1.28362791658464
lemma48900:corpusbbawgrabinschriften	1	2299	1	100522	0.0004250236557687358	191.05630172824618	5.450361004400987	0.9771293846123237
lemma400280:corpussawlit	1	4641	1	100522	0.0002055227326370781	182.3474035544821	4.4369317729489754	0.9538310021686794
lemma125120:corpussawlit	2	4641	2	100522	0.0004110454652741562	182.3474035544821	4.4369317729489754	1.3489207394788674
lemma850780:corpussawlit	1	4641	1	100522	0.0002055227326370781	182.3474035544821	4.4369317729489754	0.9538310021686794
lemma706074:corpussawlit	4	4641	4	100522	0.0008220909305483124	182.3474035544821	4.4369317729489754	1.9076620043373589
lemma98830:corpussawmedizin	4	5067	4	100522	0.0007496294642930942	180.80481868376438	4.310235641596625	1.8991862477865542
lemma26151:corpusbbawtotenlit	4	2655	2	100522	0.0007135033842738269	179.9304558167662	4.2426556094276515	1.3395087811689692
lemma26151:corpusbbawtempelbib	4	481	1	100522	0.0020392097947260004	192.48774964371478	5.707258671349125	0.980859911263206
lemma26151:corpusbbawamarna	4	510	1	100522	0.0019209920294494113	192.04383689865645	5.622798318260309	0.9797059350191998
lemma142250:corpusbbawtotenlit	15	2655	14	100522	0.005123848613814045	188.9920276850849	5.1431199358767365	3.635773312052365
lemma142250:corpusbbawtempelbib	15	481	1	100522	0.0019297810129667835	173.21254536510205	3.8003680757406064	0.9282246672370227
lemma858926:corpusbbawtotenlit	1	2655	1	100522	0.0003666997632059332	189.70700834488306	5.2426556094276515	0.9735878713117526
lemma853077:corpusbbawtotenlit	1	2655	1	100522	0.0003666997632059332	189.70700834488306	5.2426556094276515	0.9735878713117526
lemma450114:corpussawmedizin	17	5067	10	100522	0.0018044371632495973	168.42872052184475	3.544700895233648	2.8912967451753984
lemma450114:corpussawlit	17	4641	7	100522	0.0013391784177693496	159.67189358904403	3.1568238537562396	2.349097215175044
lemma853292:corpusbbawtotenlit	2	2655	2	100522	0.0007333995264118664	189.70700834488306	5.2426556094276515	1.376861171771032
